uri	label	multiLangLabelDe	multiLangLabelEn
http://id.loc.gov/vocabulary/relators/osp	On-Screen-Präsentator/in	On-Screen-Präsentator/in	On-screen presenter
http://id.loc.gov/vocabulary/relators/oth	Sonstige	Sonstige	Other agent associated with a work
http://id.loc.gov/vocabulary/relators/own	Eigentümer/in	Eigentümer/in	Owner
http://id.loc.gov/vocabulary/relators/pan	Diskussionsteilnehmer/in	Diskussionsteilnehmer/in	Panelist
http://id.loc.gov/vocabulary/relators/pat	Im Auftrag von	Im Auftrag von	Commissioning body
http://id.loc.gov/vocabulary/relators/pbd	Chefredaktion	Chefredaktion	Editorial director
http://id.loc.gov/vocabulary/relators/pbl	Verlag	Verlag	Publisher
http://id.loc.gov/vocabulary/relators/pht	Fotografie	Fotografie	Photographer
http://id.loc.gov/vocabulary/relators/plt	Druckformherstellung	Druckformherstellung	Platemaker
http://id.loc.gov/vocabulary/relators/ppm	Papiermacher/in	Papiermacher/in	Papermaker
http://id.loc.gov/vocabulary/relators/ppt	Puppenspieler/in	Puppenspieler/in	Puppeteer
http://id.loc.gov/vocabulary/relators/pra	Praeses	Praeses	Praeses
http://id.loc.gov/vocabulary/relators/pre	Präsentation	Präsentation	Presenter
http://id.loc.gov/vocabulary/relators/prf	Ausführende/r	Ausführende/r	Performer
http://id.loc.gov/vocabulary/relators/prg	Programmiererung	Programmiererung	Programmer
http://id.loc.gov/vocabulary/relators/prm	Druckgrafik	Druckgrafik	Printmaker
http://id.loc.gov/vocabulary/relators/prn	Produktionsfirma	Produktionsfirma	Production company
http://id.loc.gov/vocabulary/relators/pro	Produktion	Produktion	Producer
http://id.loc.gov/vocabulary/relators/prs	Produktionsdesign	Produktionsdesign	Production designer
http://id.loc.gov/vocabulary/relators/prt	Druck	Druck	Printer
http://id.loc.gov/vocabulary/relators/ptf	Zivilkläger/in	Zivilkläger/in	Plaintiff
http://id.loc.gov/vocabulary/relators/rcd	Ton	Ton	Recordist
http://id.loc.gov/vocabulary/relators/rce	Aufnahmetechniker/in	Aufnahmetechniker/in	Recording engineer
http://id.loc.gov/vocabulary/relators/rcp	Adressat/in	Adressat/in	Addressee
http://id.loc.gov/vocabulary/relators/rdd	Hörfunkregisseur/in	Hörfunkregisseur/in	Radio director
http://id.loc.gov/vocabulary/relators/red	Redaktion	Redaktion	Redaktor
http://id.loc.gov/vocabulary/relators/res	Forscher/in	Forscher/in	Researcher
http://id.loc.gov/vocabulary/relators/rpc	Hörfunkproduktion	Hörfunkproduktion	Radio producer
http://id.loc.gov/vocabulary/relators/rsp	Respondent/in	Respondent/in	Respondent
http://id.loc.gov/vocabulary/relators/rsr	Restaurator/in	Restaurator/in	Restorationist
http://id.loc.gov/vocabulary/relators/scl	Bildhauer/in	Bildhauer/in	Sculptor
http://id.loc.gov/vocabulary/relators/sds	Tongestaltung	Tongestaltung	Sound designer
http://id.loc.gov/vocabulary/relators/sgd	Bühnenregie	Bühnenregie	Stage director
http://id.loc.gov/vocabulary/relators/sll	Verkäufer/in	Verkäufer/in	Seller
http://id.loc.gov/vocabulary/relators/sng	Gesang	Gesang	Singer
http://id.loc.gov/vocabulary/relators/spk	Redner/in	Redner/in	Speaker
http://id.loc.gov/vocabulary/relators/spn	Träger/in	Träger/in	Sponsoring body
http://id.loc.gov/vocabulary/relators/srv	Landvermessung	Landvermessung	Surveyor
http://id.loc.gov/vocabulary/relators/stl	Geschichtenerzähler/in	Geschichtenerzähler/in	Storyteller
http://id.loc.gov/vocabulary/relators/tch	Ausbilder/in	Ausbilder/in	Teacher
http://id.loc.gov/vocabulary/relators/tld	Fernsehregie	Fernsehregie	Television director
http://id.loc.gov/vocabulary/relators/tlp	Fernsehproduktion	Fernsehproduktion	Television producer
http://id.loc.gov/vocabulary/relators/trc	Transkription	Transkription	Transcriber
http://id.loc.gov/vocabulary/relators/trl	Übersetzung	Übersetzung	Translator
http://id.loc.gov/vocabulary/relators/vac	Synchronsprecher/in	Synchronsprecher/in	Voice actor
http://id.loc.gov/vocabulary/relators/vdg	Kamera	Kamera	Director of photography
http://id.loc.gov/vocabulary/relators/wac	Zusätzlicher Kommentar	Zusätzlicher Kommentar	Writer of added commentary
http://id.loc.gov/vocabulary/relators/wal	Verfasser/in von zusätzlichen Lyrics	Verfasser/in von zusätzlichen Lyrics	Writer of added lyrics
http://id.loc.gov/vocabulary/relators/wat	Zusätzlicher Text	Zusätzlicher Text	Writer of added text
http://id.loc.gov/vocabulary/relators/win	Einleitung	Einleitung	Writer of introduction
http://id.loc.gov/vocabulary/relators/wpr	Vorwort	Vorwort	Writer of preface
http://id.loc.gov/vocabulary/relators/wst	Verfasser/in von ergänzendem Text	Verfasser/in von ergänzendem Text	Writer of supplementary textual content
